id,body,picture,actor,time,likes,dislikes,class,length
0,The Magical Northern Lights ✨ ,Science/science_5.mp4,bbcearth,,,,Science-Tutorial,26.888707
1,Raindrops aren't shaped like raindrops,Science/science_3.mp4,veritasium,,,,Science-Tutorial,49.249524
2,Majestic dolphin leaps into the air ,Science/science_4.mp4,bbcearth,,,,Science-Tutorial,13.119274
3,How model stirling engines are made ,Science/science_1.mp4,sciencechannel,,,,Science-Tutorial,31.950658
4,Satellite sees global view of sandy's life to landfall,Science/science_2.mp4,nasa,,,,Science-Tutorial,19.853061
5,White blood cells attack giant parasite worm!,Science/science_6.mp4,oneminimicro,,,,Science-Tutorial,58.769705
6,A bizarre discovery in Antarctica,Science/science_7.mp4,unveiled,,,,Science,50.387302
7,Science water experiments that really work,Science/science_8.mp4,5minutemagic,,,,Science,58.282086
8,This gator's got game.,Science/science_9.mp4,NatGeo,,,,Science,28.281905
,,,,,,,,
9,Would you take the road less traveled? ,Education/education_2.mp4,teded,,,,Education-Tutorial,30.046621
10,What does “chance of rain” really mean?,Education/education_3.mp4,vox,,,,Education-Tutorial,59.907483
11,Are we all just players in the game of life?,Education/education_1.mp4,teded,,,,Education-Tutorial,26.284989
12,"White, pink, and brown noise, explained ",Education/education_4.mp4,vox,,,,Education-Tutorial,58.862585
13,How video games can level up the way you learn ,Education/education_5.mp4,teded,,,,Education-Tutorial,48.599365
14,Why soda tabs have that hole (not for straws),Education/education_6.mp4,zackdfilms,,,,Education-Tutorial,36.223129
15,Eating Snow will kill you! Survival Hacks inside,Education/education_7.mp4,AustrianKnifeGuy,,,,Education,26.726168
16,Swallowing down the wrong pipes,Education/education_8.mp4,zackdfilms,,,,Education,31.439819
17,3 ways to choose a sunscreen,Education/education_9.mp4,teded,,,,Education,58.909025
,,,,,,,,
18,How to simplify your life ,Lifestyle/lifestyle_1.mp4,theschooloflifetv,,,,Lifestyle-Tutorial,58.955465
19,Ice restock!,Lifestyle/lifestyle_4.mp4,kaeliemaee,,,,Lifestyle-Tutorial,59.628844
20,Cleaning motivation 🧼🧹 ,Lifestyle/lifestyle_2.mp4,cleanwith_kayleigh,,,,Lifestyle-Tutorial,24.450612
21,A test to judge how good your parents were,Lifestyle/lifestyle_3.mp4,theschooloflifetv,,,,Lifestyle-Tutorial,39.125624
22,Restocking the fridge before a busy weekend,Lifestyle/lifestyle_5.mp4,kelliatkinson,,,,Lifestyle-Tutorial,58.491066
23,Realistic solo van life night routine,Lifestyle/lifestyle_6.mp4,CourtAndNate1,,,,Lifestyle-Tutorial,59.419864
24,"How to fold pants, T-shirts, and boxers",Lifestyle/lifestyle_7.mp4,effectivespaces,,,,Lifestyle,21.942857
25,I’m a dietitian and here is my healthy grocery haul,Lifestyle/lifestyle_8.mp4,momnutritionist,,,,Lifestyle,57.74802
26,How to organize pots and pans,Lifestyle/lifestyle_9.mp4,effectivespaces,,,,Lifestyle,13.815873
