id,body,actor,reply,likes,dislikes,time,replyTo,class,class-2
0,...and many other amazing things...life of course...,milo_94,0,,,-0:29:00,,,
1,"now I want to know how,when, and why did the oceans turn blue",just-ren7,0,,,-0:48:00,0,,
2,Wow I never knew fungi used to be giants,quinn.wav3,0,,,-2:31:00,,,
3,"Manipulated Harassment Message (See Sheet ""offense"")",by_sage02,0,,,-5:31:00,,,offense1
4,Manipulated Objection Message,Manipulated,0,,,-5:30:00,3,objection,
5,"One of the most beautiful, underrated cats in the world!",noa.27,1,,,-0:21:00,,,
6,Stunning beauty. One of the most gorgeous felines on Earth.,grey_404,1,,,-1:07:00,,,
7,All cats are beautiful... big or small 🎉,reeve-11,1,,,-1:49:00,,,
8,I love what the fox is,skye_lurks6,2,,,-0:39:00,,,
9,What a waste of time. Whoever made this clearly has nothing better to offer.,elm.19,2,,,-1:22:00,,,offense2
10,That's a very fluffy tail! So beautiful,just-river3,2,,,-1:55:00,,,
11,In the hall of the mountain king. Beautiful music.,sol_again00,2,,,-2:01:00,,,
12,he doesn't realize that everyone knows he's a nosy busybody. haha,wren-88,2,,,-2:39:00,,,
13,the fact that places like this just exist…,milo_94,3,,,-0:29:00,,,
14,earth really said let me show off,just-ren7,3,,,-0:48:00,13,,
15,I got two right! Alamaba and iceland!,quinn.wav3,3,,,-2:31:00,,,
16,Manipulated Harassment Message,by_sage02,3,,,-5:31:00,,,offense1
17,Manipulated Objection Message,Manipulated,3,,,-5:30:00,16,objection,
18,This performance is outstanding I will come back to watch it again.,noa.27,4,,,-0:21:00,,,
19,"Ice and Fire....Meeting....Warm and Could 
Iceland Earth Life ....Nature Life 🌋☃️",grey_404,4,,,-1:07:00,,,
20,Beautiful and scary at the same time,reeve-11,4,,,-1:49:00,,,
21,I didn't know that coral released eggs! 🪸 🥚,skye_lurks6,5,,,-0:39:00,,,
22,What a waste of time. Whoever made this clearly has nothing better to offer.,elm.19,5,,,-1:22:00,,,offense2
23,Corals are Beautiful Organisms.,just-river3,5,,,-1:55:00,,,
24,Wow! So beautiful 😻,sol_again00,5,,,-2:01:00,,,
25,Such a beautiful world we live in,wren-88,5,,,-2:39:00,,,
26,Very Interesting to know about the way the Earth came about,milo_94,6,,,-0:29:00,,,
27,Want more videos like this!,just-ren7,6,,,-0:48:00,26,,
28,the asteroid connection…wild,quinn.wav3,6,,,-2:31:00,,,
29,Manipulated Harassment Message,by_sage02,6,,,-5:31:00,,,offense1
30,Manipulated Objection Message,Manipulated,6,,,-5:30:00,29,objection,
31,The whole universe is beyond our thinking.,noa.27,7,,,-0:21:00,,,
32,Awesome! It looks like a fiery ghost 🔥👻,grey_404,7,,,-1:07:00,,,
33,Space is So cool no matter what it does to everyone and everything,reeve-11,7,,,-1:49:00,,,
34,this type of clips are spine tingling and fascinating.,skye_lurks6,8,,,-0:39:00,,,
35,What a waste of time. Whoever made this clearly has nothing better to offer.,elm.19,8,,,-1:22:00,,,offense2
36,This is where we come from !!! The stars,just-river3,8,,,-1:55:00,,,
37,To look at the cosmos..... is to realize our place in it isn't inevitable.,sol_again00,8,,,-2:01:00,,,
38,amazing that you kind find something there ... wow,wren-88,8,,,-2:39:00,,,
